id,%red,%green,%blue,%black,%white,double
07 04 54.51 +28 07 01.3,0.0247039794921875,0.0,0.0020904541015625,0.9636077880859375,0.0095977783203125,1
07 07 29.55 +18 32 32.9,0.046051025390625,0.0,0.00201416015625,0.9396209716796875,0.0123138427734375,1
07 08 30.32 +45 12 07.7,0.01708984375,0.0,0.00433349609375,0.9718475341796875,0.0067291259765625,1
07 09 13.51 +61 09 31.6,0.0079345703125,0.0,0.0017242431640625,0.9878997802734375,0.00244140625,1
07 09 42.68 +46 01 32.8,0.0120849609375,0.0,0.005157470703125,0.9797821044921875,0.0029754638671875,1
07 10 17.38 +56 26 54.2,0.0211639404296875,0.0,0.0036773681640625,0.96826171875,0.00689697265625,1
07 10 25.24 +34 30 57.1,0.0243377685546875,0.0,0.0022735595703125,0.9678955078125,0.0054931640625,1
07 10 52.56 +06 12 30.4,0.0453338623046875,0.0,0.0059051513671875,0.9391326904296875,0.0096282958984375,1
07 13 51.00 +03 13 25.1,0.0391998291015625,0.0,0.0026092529296875,0.9443359375,0.01385498046875,1
07 14 06.54 +03 40 04.7,0.032073974609375,1.52587890625e-05,0.005035400390625,0.9543304443359375,0.008544921875,1
07 15 49.33 +17 35 26.3,0.0221099853515625,0.0,0.002532958984375,0.970550537109375,0.0048065185546875,1
07 16 13.12 +11 21 45.4,0.02252197265625,0.0,0.003509521484375,0.967132568359375,0.0068359375,1
07 17 04.39 +02 33 28.9,0.0258026123046875,1.52587890625e-05,0.006378173828125,0.9589691162109375,0.0088348388671875,1
07 17 08.96 +47 39 18.1,0.00872802734375,0.0,0.004486083984375,0.9802703857421875,0.0065155029296875,1
07 18 51.66 +17 52 03.0,0.0204010009765625,0.0,0.0013580322265625,0.9722747802734375,0.0059661865234375,1
07 22 06.48 +03 35 10.4,0.0510406494140625,0.0,0.0027618408203125,0.9322052001953125,0.0139923095703125,1
07 22 13.72 +06 23 09.5,0.0341339111328125,0.0,0.00347900390625,0.9490966796875,0.0132904052734375,1
07 22 31.45 +08 49 13.0,0.025421142578125,0.0,0.004180908203125,0.9636993408203125,0.0066986083984375,1
07 22 32.57 +35 53 33.6,0.02191162109375,0.0,0.004730224609375,0.9654388427734375,0.0079193115234375,1
07 24 29.79 +11 56 56.3,0.0185546875,0.0,0.0011749267578125,0.9749298095703125,0.005340576171875,1
07 24 33.42 +50 47 48.3,0.0074005126953125,0.0,0.00933837890625,0.9807281494140625,0.002532958984375,1
07 26 40.24 +26 58 46.9,0.013092041015625,0.0,0.0045623779296875,0.9769744873046875,0.00537109375,1
07 27 14.58 +04 29 39.8,0.02630615234375,0.0,0.002716064453125,0.9628753662109375,0.0081024169921875,1
07 28 30.99 +34 37 04.4,0.0115509033203125,0.0,0.00274658203125,0.9814300537109375,0.0042724609375,1
07 29 28.78 +09 19 45.7,0.0140838623046875,0.0,0.002044677734375,0.9784698486328125,0.005401611328125,1
07 30 01.90 +31 03 19.1,0.0173187255859375,0.0,0.002349853515625,0.9749908447265625,0.005340576171875,1
07 31 36.14 +62 01 11.5,0.006439208984375,0.0,0.0062255859375,0.9856414794921875,0.0016937255859375,1
07 31 42.74 +19 57 54.8,0.01898193359375,0.0,0.0063629150390625,0.9683380126953125,0.006317138671875,1
07 31 57.72 +36 13 09.8,0.0132904052734375,0.0,0.007568359375,0.9768218994140625,0.0023193359375,1
07 32 02.88 +17 19 09.9,0.020538330078125,0.0,0.0058746337890625,0.969329833984375,0.0042572021484375,1
07 35 40.38 +27 49 25.3,0.01287841796875,0.0,0.0026702880859375,0.9802093505859375,0.004241943359375,1
07 36 04.63 +35 17 09.9,0.01873779296875,0.0,0.00189208984375,0.973663330078125,0.005706787109375,1
07 38 13.85 -02 17 35.5,0.0325164794921875,0.0,0.002685546875,0.95648193359375,0.0083160400390625,1
07 38 29.97 -03 11 29.4,0.0389404296875,0.0,0.0020751953125,0.9520721435546875,0.0069122314453125,1
07 38 44.69 +40 00 21.5,0.01068115234375,0.0,0.0028533935546875,0.9811248779296875,0.005340576171875,1
07 40 44.49 +15 57 03.5,0.014556884765625,0.0,0.005157470703125,0.970977783203125,0.009307861328125,1
07 42 00.57 +03 48 33.9,0.0189056396484375,0.0,0.00518798828125,0.969390869140625,0.0065155029296875,1
07 42 18.02 +04 20 22.2,0.019317626953125,0.0,0.0045318603515625,0.971435546875,0.0047149658203125,1
07 42 42.44 +41 30 21.2,0.01513671875,0.0,0.003997802734375,0.972259521484375,0.00860595703125,1
07 43 10.75 +04 24 01.0,0.017486572265625,0.0,0.0037384033203125,0.97369384765625,0.0050811767578125,1
