id,red,green,blue,black,white,doble(1:yes, 0:no)
"01 45 13.80 +03 30 49.2",2591,181,1795,1016871,2752,1
"05 53 25.89 +46 23 45.8",7870,176,554,1004971,10619,1
"05 02 30.76 +03 10 35.6",2064,181,607,1018472,2866,1
"01 11 06.45 -11 08 07.2",6318,182,5287,3794240,11698,1
"06 40 27.16 +64 15 14.3",839,183,1655,1019635,1878,1
"03 04 29.29 +00 03 20.4",830,180,615,1021479,1086,1
"04 05 07.43 -00 26 28.4",1238,176,562,1020245,1969,1
"03 52 48.09 +26 18 53.2",1911,182,529,1020189,1379,1
"03 32 05.10 +43 40 11.5",5295,202,6484,998096,14113,1
"03 22 02.32 +17 14 23.8",1859,183,2201,1016913,3034,1
"00 49 10.67 +79 30 59.3",1016,180,371,1020839,1784,1
"07 31 36.14 +62 01 11.5",2664,182,2250,1016858,2236,1
"00 28 59.45 -09 34 45.4",3975,184,8652,3804328,586,1
"02 25 40.18 +28 45 58.0",4314,173,1662,1010772,7269,1
"06 28 48.07 +15 06 59.5",5798,204,2151,998926,17111,1
"03 02 57.20 +26 49 49.6",714,183,1272,1018825,3196,1
"02 06 37.37 -07 07 41.3",2428,185,4692,3802839,7581,1
"02 52 33.03 +25 04 50.0",1032,186,1094,1020818,1060,1
"00 32 24.88 +50 19 13.9",5295,181,1764,1009945,7005,1
"00 54 48.97 +08 57 26.5",902,182,1490,1017823,3793,1
"06 18 30.90 +73 08 49.1",2775,184,395,1017024,3812,1
"03 17 22.74 +26 18 54.5",2208,172,1819,1016391,3600,1
"03 38 17.71 +25 30 16.3",1743,175,727,1020560,985,1
"04 08 41.67 +18 47 25.4",618,183,2074,1018774,2541,1
"04 44 47.73 +00 00 15.0",1324,184,689,1021067,926,1
"00 58 41.09 +16 44 05.4",1152,184,1639,1019769,1446,1
"06 07 03.10 +41 45 41.3",2942,179,3153,999733,18183,1
"02 11 31.96 +08 15 04.1",1383,179,1747,1018033,2848,1
"02 41 14.00 -00 41 44.4",29899,285,186380,3242923,358238,1
"05 30 46.79 -00 34 03.3",1142,188,2184,1013479,7197,1
"03 16 02.28 +48 52 52.5",2210,201,2864,1013987,4928,1
"03 16 00.60 +29 27 56.6",832,181,710,1021170,1297,1
"02 22 14.09 +27 30 20.5",523,180,2390,1018279,2818,1
"00 33 32.21 -08 10 58.9",4762,184,3132,3797987,11660,1
"00 46 03.23 +40 48 32.0",16908,175,124,988315,18668,1
"01 07 43.48 +57 59 11.5",6692,178,62,1010133,7125,1
"02 01 47.05 -02 18 06.6",1054,179,429,1021689,839,1
"01 17 32.52 +25 25 18.1",168,180,192,1023478,172,1
"02 45 39.68 +44 56 55.5",6995,183,4071,1009839,3102,1
"03 41 16.94 +28 31 58.8",4103,183,1736,1012091,6077,1
"04 20 17.10 +46 36 36.5",5070,183,1911,1008364,8662,1
"06 44 53.01 +32 48 37.1",1285,185,7858,1010302,4560,1
"00 33 51.45 +17 48 24.3",2374,187,659,1018068,2902,1
"01 09 28.90 -05 07 25.4",6210,184,5279,3801008,5044,1
"02 20 39.89 +26 18 10.6",2784,173,1079,1014488,5666,1
"04 45 25.41 +29 55 28.4",3646,190,1822,1015353,3179,1
"02 39 18.54 -01 54 03.6",10255,190,5755,3738832,62693,1
"05 00 22.97 +41 04 56.6",5298,190,3241,1001792,13669,1
"02 35 12.12 +41 01 57.6",2285,182,799,1016365,4559,1
"04 27 49.47 +26 30 14.9",1317,183,1111,1020075,1504,1
"07 15 49.33 +17 35 26.3",5265,184,1110,1013503,4128,1
"01 07 15.02 +05 36 57.4",2430,181,793,1016443,4343,1
"00 55 30.71 +21 03 29.1",802,180,552,1021275,1381,1
"04 02 15.32 +22 25 20.8",13413,179,514,999086,10998,1
"00 45 04.64 -01 08 43.0",1462,180,679,1018518,3351,1
"01 44 59.12 -01 03 30.8",3843,177,2144,1015343,2683,1
"01 12 26.45 -13 08 33.2",3788,178,3881,3809720,158,1
"00 34 17.88 +26 59 52.8",1350,178,387,1020534,1741,1
"06 34 18.87 +03 33 08.4",3557,184,134,1017927,2388,1
"05 42 00.85 +82 19 42.3",1867,183,10,1020412,1718,1
"04 07 52.79 +22 15 08.4",645,187,1297,1018240,3821,1
"02 51 51.42 +28 35 09.0",2330,181,602,1018279,2798,1
"05 50 11.74 +09 39 49.2",10042,181,663,1005702,7602,1
"07 22 32.57 +35 53 33.6",4608,184,1807,1011391,6200,1
"02 56 18.24 +25 36 02.6",757,184,1903,1016639,4707,1
"04 09 10.26 +40 09 40.5",1193,187,9086,996956,16768,1
"00 37 52.23 +30 09 44.4",742,183,219,1020963,2083,1
"04 15 57.08 +17 53 40.8",985,182,1697,1018586,2740,1
"03 05 36.64 +79 45 25.0",906,185,3133,1017394,2572,1
"00 37 14.22 +44 45 31.4",4458,178,515,1014816,4223,1
"07 31 57.70 +18 16 44.3",3631,177,793,1013706,5883,1
"00 23 33.67 +09 47 38.6",1555,180,1386,1019900,1169,1
"07 29 03.94 +05 46 01.5",9880,183,613,1004428,9086,1
"00 41 30.19 +07 28 34.8",740,185,1120,1020564,1581,1
"00 11 51.45 +38 50 28.8",1447,177,788,1020294,1484,1
"00 58 30.39 +38 57 10.6",66,187,2408,1020288,1241,1
"02 15 41.46 +10 46 07.7",202,182,6224,1007259,10323,1
"03 23 48.57 +24 32 31.1",625,185,1514,1019297,2569,1
"07 32 36.20 +23 42 26.2",2623,180,551,1015752,5084,1
"02 08 56.02 +59 09 50.8",12297,173,275,999827,11618,1
"02 23 16.44 +14 52 17.8",1128,181,437,1018542,3902,1
"04 12 48.86 +19 53 52.3",2808,180,2396,1015279,3527,1
"00 10 56.06 +48 06 37.5",11237,187,1657,998351,12758,1
"01 04 39.17 +32 29 21.8",449,181,1448,1020480,1632,1
"02 09 32.78 +63 42 28.6",7317,178,309,1008099,8287,1
"00 32 27.18 +14 26 56.6",806,182,944,1020869,1389,1
"03 33 43.54 +01 08 30.0",1018,181,780,1021967,244,1
"00 50 21.37 +59 23 19.4",11337,180,606,1001476,10591,1
"03 54 40.27 +38 40 31.1",2705,182,1390,1013897,6016,1
"02 17 26.54 +27 08 14.1",3504,175,2128,1017006,1377,1
"00 56 04.85 +41 53 24.0",3057,179,881,1013914,6159,1
"07 27 39.95 +24 20 11.9",3774,182,1260,1011243,7731,1
"00 25 08.61 -05 11 16.4",4122,183,3309,3805020,5091,1
"06 53 25.91 -02 21 24.7",7948,187,2715,1000843,12497,1
"02 32 40.62 +07 04 26.4",586,180,497,1022197,730,1
"03 09 35.75 +21 02 58.9",642,179,591,1022440,338,1
"06 52 44.72 +78 12 08.0",3293,196,2527,1015231,2943,1
"01 43 46.88 +19 54 21.6",577,190,242,1022504,677,1
"01 20 21.30 +09 36 44.3",4363,183,375,1013225,6044,1
"07 27 14.58 +04 29 39.8",5651,176,333,1010989,7041,1
"02 56 00.23 +04 26 07.8",1613,176,299,1018320,3782,1
"04 33 17.84 +00 13 59.6",2621,177,924,1018078,2390,1
"03 47 20.53 +28 57 44.2",2243,187,298,1018343,3119,1
"01 14 49.96 +43 09 06.4",5726,180,2714,1010438,5132,1
"03 32 13.39 +13 29 57.2",1181,177,1233,1017976,3623,1
"02 50 20.53 +37 28 59.4",2381,178,1806,1015975,3850,1
"05 34 44.36 +14 52 59.6",2983,178,465,1017261,3303,1
"01 11 53.72 +04 52 43.3",2472,187,3913,1010903,6715,1
"00 55 01.75 -07 21 35.3",3246,183,3385,3808025,2886,1
"05 45 45.42 +66 38 30.2",3200,187,1595,1015742,3466,1
"06 37 13.06 -00 24 46.7",2044,181,3555,1008815,9595,1
"05 59 37.75 +58 35 34.8",4614,182,3683,1012073,3638,1
"00 53 21.16 +18 20 10.6",1375,183,1713,1019600,1319,1
"01 28 31.48 +09 39 56.0",699,183,2480,1017404,3424,1
"02 58 33.40 +06 45 57.2",722,187,658,1020738,1885,1
"01 54 09.98 +77 12 51.2",997,180,1673,1017352,3988,1
