id,red,green,blue,black,white,doble(1:yes 0:no)
02 48 53.66 +48 24 00.5,6789,189,943,1006185,10084,1
66.38 +37.50,5,183,3,1017759,628,0
01 09 18.15 +62 34 06.0,2402,186,1109,1015775,4718,1
182.35 +1.52,175,173,122,1016684,1424,0
00 58 11.67 +80 06 49.2,3061,181,2083,1010773,8092,1
120.8 -2.28,2240,181,969,1008029,7159,0
06 33 26.84 +22 44 57.2,11776,183,815,997028,14388,1
145.4 -1.33,1097,174,1094,1012333,3880,0
01 37 20.15 +18 28 13.2,567,184,425,1022104,910,1
277.34 -27.55,2,213,9,985793,32561,0
02 19 13.17 +50 38 56.9,664,184,7373,1008971,6998,1
341.83 -1.03,370,179,1268,1012769,3992,0
00 25 57.19 -05 41 48.5,8237,179,8551,3797230,3528,1
338.84 -0.71,997,176,1789,1009216,6400,0
03 04 03.43 +42 03 18.9,824,184,3876,1007099,12207,1
220.78 -3.60,580,183,397,1014340,3078,0
07 02 48.37 +39 26 35.2,5497,181,188,1012743,5581,1
270.31 -18.11,1,182,1,958725,59669,0
03 24 54.50 +67 09 11.9,512,181,5685,1009909,7903,1
190.52 -6.45,1472,181,56,1015466,1403,0
01 22 49.60 +83 48 33.3,5225,178,1292,1013393,4102,1
261.41 +3.15,1013,177,940892,55798,20698,0
02 48 40.72 +13 44 47.9,3299,182,1680,1012056,6973,1
285.5 +0.24,7323,210,17907,958949,34189,0
00 39 06.37 +27 03 44.2,1137,180,888,1019946,2039,1
228.15 -1.59,2377,178,4559,1008815,2649,0
02 18 47.71 +14 39 57.0,910,180,468,1021889,743,1
286.73 -10.96,8406,213,2933,992225,14801,0
04 26 51.13 +08 42 17.4,1983,187,1468,1014551,6001,1
196.76 -8.24,544,175,614,1014704,2541,0
03 16 59.38 +16 46 41.4,476,183,362,1022768,401,1
134.69 -2.48,780,175,539,1014218,2866,0
02 12 17.01 +14 10 36.5,1003,180,776,1019617,2614,1
82.42 -11.21,410,183,1141,1013987,2857,0
05 50 56.17 +26 04 06.8,1032,182,12503,992370,18103,1
203.47 -2.62,898,180,759,1015796,945,0
02 33 01.14 +01 05 38.9,2049,180,534,1019470,1957,1
87.41 -3.57,178,185,729,1015043,2443,0
07 46 04.37 +47 31 42.4,2086,181,995,1019069,1859,1
275.8 -0.98,433,178,7269,1008541,2157,0
03 30 35.68 +31 21 29.2,800,179,939,1020172,2100,1
178.77 -4.37,193,179,110,1017365,731,0
00 13 40.32 +13 56 55.5,4400,188,546,1013186,5870,1
273.99 -2.49,1419,172,3446,1011079,2462,0
03 41 29.32 +17 05 26.1,2549,176,602,1017651,3212,1
44.38 -6.29,558,175,560,1016153,1132,0
03 02 48.54 +18 16 52.5,650,185,707,1021427,1221,1
96.58 +33.94,2,216,11,1005047,13302,0
06 38 43.04 +75 42 24.5,10960,182,620,997919,14509,1
80.72 -12.17,292,176,1740,1011097,5273,0
03 47 41.00 +39 09 36.7,2686,187,2832,1014180,4305,1
189.49 +0.86,281,183,174,1015890,2050,0
00 16 08.60 +09 02 13.2,970,185,585,1019689,2761,1
182.65 -12.46,570,174,164,1016372,1298,0
00 47 20.60 -06 05 17.9,3757,186,5166,3796966,11650,1
273.96 +37.67,5,206,6,1010587,7774,0
01 49 15.31 +40 07 44.1,1150,184,2780,1017840,2236,1
245.83 +3.06,2144,178,365124,644917,6215,0
06 53 16.18 +30 26 03.9,6619,178,276,1012407,4710,1
243.17 -15.31,1550,186,2225,1002469,12148,0
01 17 56.55 +19 42 48.3,1479,176,875,1018486,3174,1
119.81 -0.90,3804,182,1086,1003270,10236,0
03 06 58.97 +18 16 28.5,1062,185,2947,1015844,4152,1
176.7 -14.00,2855,181,3248,1007709,4585,0
04 20 07.82 +19 53 09.7,1214,179,652,1019655,2490,1
295.7 -2.22,5668,191,5442,991025,16252,0
01 45 13.80 +03 30 49.2,2591,181,1795,1016871,2752,1
34.53 -12.59,1480,180,1083,1014307,1528,0
05 53 25.89 +46 23 45.8,7870,176,554,1004971,10619,1
278.29 -14.94,96069,294,20337,783853,118025,0
05 02 30.76 +03 10 35.6,2064,181,607,1018472,2866,1
160.84 -15.30,1723,175,1487,1008966,6227,0
01 11 06.45 -11 08 07.2,6318,182,5287,3794240,11698,1
156.89 -5.57,523,178,278,1015082,2517,0
06 40 27.16 +64 15 14.3,839,183,1655,1019635,1878,1
73.78 -6.25,627,180,375,1015538,1858,0
03 04 29.29 +00 03 20.4,830,180,615,1021479,1086,1
189.79 -12.58,1031,178,677,1014677,2015,0
04 05 07.43 -00 26 28.4,1238,176,562,1020245,1969,1
347.27 +78.16,1,215,5,1006240,12117,0
03 52 48.09 +26 18 53.2,1911,182,529,1020189,1379,1
356.09 +76.26,10,207,1,1008058,10302,0
03 32 05.10 +43 40 11.5,5295,202,6484,998096,14113,1
6.49 +77.26,2,187,6,1012235,6148,0
03 22 02.32 +17 14 23.8,1859,183,2201,1016913,3034,1
11.69 -6.61,869,175,715,1014178,2641,0
00 49 10.67 +79 30 59.3,1016,180,371,1020839,1784,1
20.01 -9.67,1231,177,13,1014997,2160,0
07 31 36.14 +62 01 11.5,2664,182,2250,1016858,2236,1
271.08 -6.46,388,179,5083,1011049,1879,0
00 28 59.45 -09 34 45.4,3975,184,8652,3804328,586,1
61.78 -12.05,414,176,252,1015302,2434,0
02 25 40.18 +28 45 58.0,4314,173,1662,1010772,7269,1
253.21 -9.85,295,178,552,1014765,2788,0
06 28 48.07 +15 06 59.5,5798,204,2151,998926,17111,1
319.15 +0.65,1390,177,231,1013775,3005,0
03 02 57.20 +26 49 49.6,714,183,1272,1018825,3196,1
104.14 +1.08,3161,182,1664,998550,15021,0
02 06 37.37 -07 07 41.3,2428,185,4692,3802839,7581,1
359.0 -11.56,16,177,656,1016868,861,0
02 52 33.03 +25 04 50.0,1032,186,1094,1020818,1060,1
168.91 -8.21,369,181,2720,1012371,2937,0
00 32 24.88 +50 19 13.9,5295,181,1764,1009945,7005,1
178.18 -14.01,210,178,205,1017226,759,0
00 54 48.97 +08 57 26.5,902,182,1490,1017823,3793,1
260.14 -2.53,1064,179,2161,1011329,3845,0
06 18 30.90 +73 08 49.1,2775,184,395,1017024,3812,1
327.4 -2.36,555,179,584,1013234,4026,0
03 17 22.74 +26 18 54.5,2208,172,1819,1016391,3600,1
311.62 +0.62,3447,180,852,1005757,8342,0
03 38 17.71 +25 30 16.3,1743,175,727,1020560,985,1
207.05 -10.56,488,175,988,1014457,2470,0
04 08 41.67 +18 47 25.4,618,183,2074,1018774,2541,1
226.4 -9.66,877,180,1361,1012676,3484,0
04 44 47.73 +00 00 15.0,1324,184,689,1021067,926,1
234.94 -12.40,1173,182,371,1012732,4120,0
00 58 41.09 +16 44 05.4,1152,184,1639,1019769,1446,1
325.58 +0.88,947,180,360,1013043,4048,0
06 07 03.10 +41 45 41.3,2942,179,3153,999733,18183,1
67.29 -14.87,291963,129,709,720711,5066,0
02 11 31.96 +08 15 04.1,1383,179,1747,1018033,2848,1
165.35 -2.82,1592,176,331,1013625,2854,0
02 41 14.00 -00 41 44.4,29899,285,186380,3242923,358238,1
252.86 -3.18,589,180,656,1013675,3478,0
05 30 46.79 -00 34 03.3,1142,188,2184,1013479,7197,1
232.97 +0.94,583,179,646,1016084,1086,0
03 16 02.28 +48 52 52.5,2210,201,2864,1013987,4928,1
76.64 +17.75,1,187,5,1009188,9197,0
03 16 00.60 +29 27 56.6,832,181,710,1021170,1297,1
323.63 -1.89,1443,180,1615,1011543,3797,0
02 22 14.09 +27 30 20.5,523,180,2390,1018279,2818,1
71.24 -3.94,565,198,4064,1003477,10274,0
00 33 32.21 -08 10 58.9,4762,184,3132,3797987,11660,1
236.15 -4.21,606,178,508,1016312,974,0
00 46 03.23 +40 48 32.0,16908,175,124,988315,18668,1
237.07 -12.54,661,178,605,1014121,3013,0
01 07 43.48 +57 59 11.5,6692,178,62,1010133,7125,1
2.49 +49.16,6,207,12,999933,18420,0
02 01 47.05 -02 18 06.6,1054,179,429,1021689,839,1
178.22 -4.12,761,173,440,1015169,2035,0
01 17 32.52 +25 25 18.1,168,180,192,1023478,172,1
109.11 -0.08,7500,180,639,993632,16627,0
02 45 39.68 +44 56 55.5,6995,183,4071,1009839,3102,1
272.4 -12.26,9542,187,450,999399,9000,0
03 41 16.94 +28 31 58.8,4103,183,1736,1012091,6077,1
242.96 +0.03,1120,183,1182,1012695,3398,0
04 20 17.10 +46 36 36.5,5070,183,1911,1008364,8662,1
272.78 -20.86,2,205,4,979006,39361,0
06 44 53.01 +32 48 37.1,1285,185,7858,1010302,4560,1
332.04 -1.07,700,180,482,1015353,1863,0
00 33 51.45 +17 48 24.3,2374,187,659,1018068,2902,1
346.94 -5.60,1199,182,327,1013999,2871,0
01 09 28.90 -05 07 25.4,6210,184,5279,3801008,5044,1
175.64 -14.54,1204,175,123,1013407,3669,0
02 20 39.89 +26 18 10.6,2784,173,1079,1014488,5666,1
32.2 -0.44,3705,187,2604,986383,25699,0
04 45 25.41 +29 55 28.4,3646,190,1822,1015353,3179,1
321.14 -2.15,2281,179,437,1012327,3354,0
02 39 18.54 -01 54 03.6,10255,190,5755,3738832,62693,1
284.2 -13.32,31772,194,6016,943662,36934,0
05 00 22.97 +41 04 56.6,5298,190,3241,1001792,13669,1
10.41 +1.05,102,176,280,1017002,1018,0
02 35 12.12 +41 01 57.6,2285,182,799,1016365,4559,1
152.98 -5.68,448,177,349,1017247,357,0
04 27 49.47 +26 30 14.9,1317,183,1111,1020075,1504,1
122.2 +2.64,8228,183,1385,1004284,4498,0
07 15 49.33 +17 35 26.3,5265,184,1110,1013503,4128,1
314.84 -0.10,1828,177,365,1011388,4820,0
01 07 15.02 +05 36 57.4,2430,181,793,1016443,4343,1
41.45 -0.23,221,178,197,1016934,1048,0
00 55 30.71 +21 03 29.1,802,180,552,1021275,1381,1
350.06 -3.75,680,177,389,1014468,2864,0
04 02 15.32 +22 25 20.8,13413,179,514,999086,10998,1
65.79 -10.97,280,178,946,1015502,1672,0
00 45 04.64 -01 08 43.0,1462,180,679,1018518,3351,1
323.31 +31.18,7,192,8,1007808,10563,0
01 44 59.12 -01 03 30.8,3843,177,2144,1015343,2683,1
131.2 -0.40,799,180,604,1012309,4686,0
01 12 26.45 -13 08 33.2,3788,178,3881,3809720,158,1
234.28 +17.17,3,201,5,1014640,3729,0
00 34 17.88 +26 59 52.8,1350,178,387,1020534,1741,1
80.77 +1.32,1582,203,3909,1005413,7471,0
06 34 18.87 +03 33 08.4,3557,184,134,1017927,2388,1
76.27 -9.32,418,181,696,1014445,2838,0
05 42 00.85 +82 19 42.3,1867,183,10,1020412,1718,1
132.9 +2.17,930,178,2159,1006168,9143,0
04 07 52.79 +22 15 08.4,645,187,1297,1018240,3821,1
197.72 -15.39,1553,183,1388,1010660,4794,0
02 51 51.42 +28 35 09.0,2330,181,602,1018279,2798,1
149.54 -7.67,1174,179,657,1013206,3362,0
05 50 11.74 +09 39 49.2,10042,181,663,1005702,7602,1
185.05 -11.65,16,174,230,1017870,288,0
07 22 32.57 +35 53 33.6,4608,184,1807,1011391,6200,1
1.67 -9.15,139,179,164,1017020,1076,0
02 56 18.24 +25 36 02.6,757,184,1903,1016639,4707,1
287.23 +13.44,1,226,6,978420,39925,0
04 09 10.26 +40 09 40.5,1193,187,9086,996956,16768,1
289.29 -4.36,4876,192,3139,992759,17612,0
00 37 52.23 +30 09 44.4,742,183,219,1020963,2083,1
132.96 +5.85,2,203,4,1016220,2149,0
04 15 57.08 +17 53 40.8,985,182,1697,1018586,2740,1
329.5 -5.26,285,173,220,1017313,587,0
03 05 36.64 +79 45 25.0,906,185,3133,1017394,2572,1
81.88 -11.77,307,178,1974,1012372,3747,0
00 37 14.22 +44 45 31.4,4458,178,515,1014816,4223,1
358.39 -6.99,331,176,227,1017440,404,0
07 31 57.70 +18 16 44.3,3631,177,793,1013706,5883,1
30.03 +37.15,1,192,2,1010046,8337,0
00 23 33.67 +09 47 38.6,1555,180,1386,1019900,1169,1
155.83 +0.08,423,177,1091,1014127,2760,0
07 29 03.94 +05 46 01.5,9880,183,613,1004428,9086,1
276.27 -22.27,5,216,12,892281,126064,0
00 41 30.19 +07 28 34.8,740,185,1120,1020564,1581,1
353.25 -7.24,245,176,839,1015621,1697,0
00 11 51.45 +38 50 28.8,1447,177,788,1020294,1484,1
2.76 -1.20,543,175,377,1015899,1584,0
00 58 30.39 +38 57 10.6,66,187,2408,1020288,1241,1
127.67 -11.97,658,182,2092,1008323,7323,0
02 15 41.46 +10 46 07.7,202,182,6224,1007259,10323,1
137.08 -6.96,1214,178,239,1013874,3073,0
03 23 48.57 +24 32 31.1,625,185,1514,1019297,2569,1
4.85 -4.04,451,182,861,1015082,2002,0
07 32 36.20 +23 42 26.2,2623,180,551,1015752,5084,1
241.52 -9.86,264,179,246,1017006,883,0
02 08 56.02 +59 09 50.8,12297,173,275,999827,11618,1
19.15 +60.94,2,212,7,1010849,7508,0
02 23 16.44 +14 52 17.8,1128,181,437,1018542,3902,1
359.71 +81.42,1,183,5,1012636,5753,0
04 12 48.86 +19 53 52.3,2808,180,2396,1015279,3527,1
227.74 -4.39,611,179,974,1013895,2919,0
00 10 56.06 +48 06 37.5,11237,187,1657,998351,12758,1
165.69 -13.97,185,178,117,1016995,1103,0
01 04 39.17 +32 29 21.8,449,181,1448,1020480,1632,1
2.65 -5.61,609,179,67,1015457,2266,0
02 09 32.78 +63 42 28.6,7317,178,309,1008099,8287,1
151.17 -9.07,507,179,177,1016653,1062,0
00 32 27.18 +14 26 56.6,806,182,944,1020869,1389,1
119.91 -9.85,9240,178,14,998276,10870,0
03 33 43.54 +01 08 30.0,1018,181,780,1021967,244,1
223.98 +0.89,309,182,1353,1014410,2324,0
00 50 21.37 +59 23 19.4,11337,180,606,1001476,10591,1
154.59 -14.73,856,178,630,1013980,2934,0
03 54 40.27 +38 40 31.1,2705,182,1390,1013897,6016,1
61.69 -7.42,355,183,628,1014306,3106,0
02 17 26.54 +27 08 14.1,3504,175,2128,1017006,1377,1
78.98 +1.94,1233,179,1010,1012089,4067,0
00 56 04.85 +41 53 24.0,3057,179,881,1013914,6159,1
309.15 +3.18,2204,184,1088,1010923,4179,0
07 27 39.95 +24 20 11.9,3774,182,1260,1011243,7731,1
233.07 -11.12,1751,177,1225,1011946,3479,0
00 25 08.61 -05 11 16.4,4122,183,3309,3805020,5091,1
347.49 -6.07,1086,198,414,1013980,2900,0
06 53 25.91 -02 21 24.7,7948,187,2715,1000843,12497,1
260.49 -8.86,697,179,1370,1011910,4422,0
02 32 40.62 +07 04 26.4,586,180,497,1022197,730,1
113.46 +0.23,1001,180,2403,1001550,13444,0
03 09 35.75 +21 02 58.9,642,179,591,1022440,338,1
59.91 -8.48,472,181,322,1016446,1157,0
06 52 44.72 +78 12 08.0,3293,196,2527,1015231,2943,1
189.92 -3.57,361,178,87,1016739,1213,0
01 43 46.88 +19 54 21.6,577,190,242,1022504,677,1
282.38 -6.81,3,233,18,807390,210934,0
01 20 21.30 +09 36 44.3,4363,183,375,1013225,6044,1
5.66 -11.05,45,179,127,1018019,208,0
07 27 14.58 +04 29 39.8,5651,176,333,1010989,7041,1
291.76 +29.01,3,210,11,975964,42390,0
02 56 00.23 +04 26 07.8,1613,176,299,1018320,3782,1
